carat,cut,color,clarity,depth,table,price
1.2,Ideal,E,SI1,62.3,55.0,7074
0.51,Ideal,J,SI1,62.5,58.0,1023
0.71,Premium,D,SI1,59.2,62.0,2547
0.41,Premium,E,SI2,60.0,59.0,876
0.41,Premium,E,SI1,61.3,58.0,969
1.59,Very Good,J,VS2,62.9,58.1,8526
0.31,Ideal,F,VVS2,62.4,55.0,761
0.91,Premium,H,SI2,62.7,58.0,3363
0.33,Premium,I,VS2,62.6,58.0,594
0.92,Good,E,SI1,63.7,57.0,4258
0.79,Very Good,D,SI2,63.2,57.0,3081
0.51,Ideal,F,VS1,61.8,54.0,1632
0.41,Very Good,E,SI2,62.9,58.0,683
0.52,Ideal,E,VS2,62.1,56.0,1576
0.9,Ideal,J,VS1,62.6,55.0,3048
0.31,Very Good,G,VS1,63.2,56.0,802
1.72,Ideal,E,I1,62.2,55.0,7802
1.65,Ideal,I,SI1,61.7,55.0,10365
1.18,Very Good,I,IF,63.3,58.0,6867
0.64,Very Good,E,VS2,60.5,58.1,2222
1.09,Ideal,H,SI2,62.0,57.0,4264
0.38,Very Good,E,IF,59.5,57.0,1421
0.54,Ideal,D,VS2,60.9,56.0,1763
1.59,Very Good,J,VS1,60.7,59.0,8515
1.01,Very Good,J,SI1,62.2,57.0,4295
0.9,Ideal,H,SI2,62.8,55.0,3016
0.24,Very Good,E,VS2,61.5,58.0,419
1.59,Ideal,I,SI2,60.5,55.0,8975
0.41,Ideal,D,VVS2,61.1,56.0,1105
1.0,Good,F,SI1,63.8,58.0,4586
1.01,Good,H,SI1,64.0,58.0,4191
1.01,Premium,G,SI2,61.0,58.0,4327
0.5,Good,G,SI1,63.9,57.0,1286
1.3,Premium,F,VS2,60.4,59.0,9909
0.51,Ideal,F,VS2,62.7,57.0,1562
0.8,Ideal,D,SI2,61.9,54.0,3154
1.0,Premium,G,VVS2,62.8,59.0,7840
0.25,Ideal,D,SI1,61.5,55.0,452
0.33,Ideal,D,VVS2,61.1,56.0,955
0.75,Ideal,E,VS2,60.2,57.0,3192
0.31,Ideal,D,SI1,62.3,56.0,548
0.35,Ideal,D,SI1,61.6,56.0,644
0.4,Ideal,D,VS2,62.8,56.0,918
0.55,Good,F,VS2,62.8,63.0,1563
0.7,Very Good,D,SI1,62.6,57.0,2726
0.25,Ideal,F,VVS1,62.3,56.0,705
0.71,Ideal,E,VS2,61.9,55.0,3773
0.56,Ideal,H,VVS1,60.8,57.0,1929
0.52,Premium,F,SI2,61.7,58.0,1111
0.91,Ideal,F,SI2,62.4,57.0,3812
1.24,Ideal,F,SI2,61.4,58.0,6503
